id_transaccion,fecha_gasto,concepto,proveedor,monto_usd,metodo_pago,estado_pago
TXN-2026-0031,2026-08-16,Mantenimiento Servidor Local / Ngrok,OpenAI LLC,731.72,Transferencia Bancaria,Error Banco
TXN-2026-0434,2026-08-13,Transporte Logístico Urabá,Beeks Financial Cloud / MQ Hosting,271.66,Efectivo,Pendiente
TXN-2026-0064,2026-04-30,Honorarios Consultoría Quant,Transportes del Darién S.A.,1024.28,Tarjeta de Crédito Corporativa,PAGADO
TXN-2026-0102,2026-06-18,SUSCRIPCIÓN OPENAI API,MercadoLibre Colombia,-758.54,,Aprobado
TXN-2026-0125,2026-08-11,  Transporte Logístico Urabá   ,Agropecuaria y Mascotas Mutatá,893.05,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0298,2026-07-04,Suscripción Canva Pro / Marketing,Microsoft Ireland Operations,156.49,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0431,2026-02-08,Insumos Peluquería Canina HeisGroomer,Transportes del Darién S.A.,155.22,PayPal,PAGADO
TXN-2026-0429,2026-06-17,Servicio de Internet Fibra Óptica,MercadoLibre Colombia,107.24,Transferencia Bancaria,Aprobado
TXN-2026-0080,2026-08-16,Insumos Peluquería Canina HeisGroomer,Transportes del Darién S.A.,123.22,Pse / Débito,Pagado
TXN-2026-0173,2026-04-26,,Distribuidora Estética Mascotas SAS,997.43,Pse / Débito,Pendiente
TXN-2026-0019,2026-03-13,,ETB / Tigo Telecomunicaciones,1123.58,Efectivo,PAGADO
TXN-2026-0422,2026-05-22,TRANSPORTE LOGÍSTICO URABÁ,Transportes del Darién S.A.,347.53,Pse / Débito,CANCELADO
TXN-2026-0281,2026-06-29,ALIMENTO MEDICADO MASCOTAS,MercadoLibre Colombia,127.79,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0415,2026-06-23,Herramientas de Hardware IoT (Raspberry/ESP32),PetShop Supply Co.,$1149.51,Pse / Débito,
TXN-2026-0040,2026-06-02,Honorarios Consultoría Quant,Distribuidora Estética Mascotas SAS,1181.32,Pse / Débito,Pagado
TXN-2026-0138,2026-05-29,Herramientas de Hardware IoT (Raspberry/ESP32),PetShop Supply Co.,547.93,Transferencia Bancaria,PAGADO
TXN-2026-0158,2026-06-18,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,-409.03,Pse / Débito,CANCELADO
TXN-2026-0071,2026-07-01,Licencias MetaTrader 5 / VPS Trading,Amazon Web Services LLC,670.73,Transferencia Bancaria,Error Banco
TXN-2026-0056,2026-04-11,TRANSPORTE LOGÍSTICO URABÁ,Amazon Web Services LLC,522.91,Transferencia Bancaria,PAGADO
TXN-2026-0246,2026-05-24,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,827.1,PayPal,PAGADO
TXN-2026-0412,2026-04-21,ALIMENTO MEDICADO MASCOTAS,MercadoLibre Colombia,21.99,Tarjeta de Crédito Corporativa,pagado
TXN-2026-0336,2026-01-16,Suscripción Canva Pro / Marketing,ETB / Tigo Telecomunicaciones,649.58,Efectivo,Pendiente
TXN-2026-0439,2026-06-28,Compra Sensores LoRaWAN AgroTech,Meta Platforms Ireland Ltd,466.77,Pse / Débito,Pendiente
TXN-2026-0302,2026-01-03,Servicios de Nube AWS,MercadoLibre Colombia,889.63,Transferencia Bancaria,Pendiente
TXN-2026-0076,2026-02-10,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,499.09,Efectivo,Pendiente
TXN-2026-0094,2026-03-23,Herramientas de Hardware IoT (Raspberry/ESP32),Meta Platforms Ireland Ltd,,PayPal,CANCELADO
TXN-2026-0409,2026-01-22,Suscripción OpenAI API,ETB / Tigo Telecomunicaciones,757.92,Transferencia Bancaria,PAGADO
TXN-2026-0411,2026-01-23,Suscripción OpenAI API,Beeks Financial Cloud / MQ Hosting,696.33,PayPal,PAGADO
TXN-2026-0031,2026-08-16,Mantenimiento Servidor Local / Ngrok,OpenAI LLC,731.72,Transferencia Bancaria,Error Banco
TXN-2026-0073,2026-01-17,Servicios Nube Azure,Transportes del Darién S.A.,78.53,Pse / Débito,Pagado
TXN-2026-0133,2026-04-12,Honorarios Consultoría Quant,Distribuidora Estética Mascotas SAS,,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0420,2026-05-30,Servicio de Internet Fibra Óptica,Distribuidora Estética Mascotas SAS,1151.01,PayPal,Pendiente
TXN-2026-0266,2026-03-22,Servicio de Internet Fibra Óptica,Amazon Web Services LLC,1142.93,Transferencia Bancaria,pagado
TXN-2026-0290,2026-03-15,Mantenimiento Servidor Local / Ngrok,Agropecuaria y Mascotas Mutatá,491.7,Pse / Débito,Aprobado
TXN-2026-0040,2026-06-02,Honorarios Consultoría Quant,Distribuidora Estética Mascotas SAS,1181.32,Pse / Débito,Pagado
TXN-2026-0077,2026-03-14,Publicidad Meta Ads (Instagram/FB),Microsoft Ireland Operations,1109.83,Pse / Débito,Pendiente
TXN-2026-0074,2026-01-31,Alimento Medicado Mascotas,Transportes del Darién S.A.,747.83,Efectivo,PAGADO
TXN-2026-0177,2026-01-12,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,264.81,Pse / Débito,PAGADO
TXN-2026-0141,2026-06-15,Insumos Peluquería Canina HeisGroomer,Microsoft Ireland Operations,473.08,Pse / Débito,Aprobado
TXN-2026-0427,2026-05-05,Licencias MetaTrader 5 / VPS Trading,Distribuidora Estética Mascotas SAS,807.27,PayPal,PAGADO
TXN-2026-0239,2026-07-30,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,299.96,Efectivo,pagado
TXN-2026-0303,2026-01-16,Suscripción OpenAI API,PetShop Supply Co.,67.02,Pse / Débito,Aprobado
TXN-2026-0276,2026-04-05,Publicidad Meta Ads (Instagram/FB),Distribuidora Estética Mascotas SAS,1044.66,Tarjeta de Crédito Corporativa,PAGADO
TXN-2026-0158,2026-06-18,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,-409.03,Pse / Débito,CANCELADO
TXN-2026-0154,2026-06-05,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,159.39,Pse / Débito,Pagado
TXN-2026-0232,2026-01-16,Transporte Logístico Urabá,Transportes del Darién S.A.,$796.25,Pse / Débito,
TXN-2026-0334,2026-05-20,Insumos Peluquería Canina HeisGroomer,Agropecuaria y Mascotas Mutatá,543.24,Efectivo,Error Banco
TXN-2026-0141,2026-06-15,Insumos Peluquería Canina HeisGroomer,Microsoft Ireland Operations,473.08,Pse / Débito,Aprobado
TXN-2026-0418,2026-05-21,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,9482.0,Pse / Débito,Aprobado
TXN-2026-0016,2026-08-31,Licencias MetaTrader 5 / VPS Trading,ETB / Tigo Telecomunicaciones,516.42,Pse / Débito,CANCELADO
TXN-2026-0149,2026-02-11,,Transportes del Darién S.A.,311.25,PayPal,Pagado
TXN-2026-0369,2026-06-17,SERVICIOS DE NUBE AWS,PetShop Supply Co.,541.51,PayPal,Pendiente
TXN-2026-0020,2026-02-18,Transporte Logístico Urabá,Agropecuaria y Mascotas Mutatá,502.16,Tarjeta de Crédito Corporativa,CANCELADO
TXN-2026-0308,2026-02-25,INSUMOS PELUQUERÍA CANINA HEISGROOMER,OpenAI LLC,309.14,,Aprobado
TXN-2026-0317,2026-06-18,  Mantenimiento Servidor Local / Ngrok   ,PetShop Supply Co.,1195.72,Efectivo,Error Banco
TXN-2026-0057,2026-04-27,Herramientas de Hardware IoT (Raspberry/ESP32),Agropecuaria y Mascotas Mutatá,1142.18,Tarjeta de Crédito Corporativa,CANCELADO
TXN-2026-0210,2026-08-07,Servicios Nube Azure,MercadoLibre Colombia,70603.0,Pse / Débito,Pagado
TXN-2026-0125,2026-08-11,  Transporte Logístico Urabá   ,Agropecuaria y Mascotas Mutatá,893.05,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0419,2026-06-21,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,1081.64,Efectivo,CANCELADO
TXN-2026-0358,2026-07-09,Herramientas de Hardware IoT (Raspberry/ESP32),ETB / Tigo Telecomunicaciones,231.94,PayPal,Pendiente
TXN-2026-0424,2026-05-20,Mantenimiento Servidor Local / Ngrok,Meta Platforms Ireland Ltd,191.13,Pse / Débito,Aprobado
TXN-2026-0405,2026-07-21,Alimento Medicado Mascotas,ETB / Tigo Telecomunicaciones,123.96,Transferencia Bancaria,Aprobado
TXN-2026-0026,2026-05-11,Suscripción OpenAI API,Microsoft Ireland Operations,815.13,Tarjeta de Crédito Corporativa,pagado
TXN-2026-0212,2026-02-25,Servicios de Nube AWS,Agropecuaria y Mascotas Mutatá,90.56,Tarjeta de Crédito Corporativa,
TXN-2026-0221,2026-04-15,Alimento Medicado Mascotas,OpenAI LLC,576.12,PayPal,Pendiente
TXN-2026-0417,2026-02-06,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,245.28,Pse / Débito,Error Banco
TXN-2026-0043,2026-03-17,Compra Sensores LoRaWAN AgroTech,Agropecuaria y Mascotas Mutatá,464.29,Transferencia Bancaria,Aprobado
TXN-2026-0200,2026-05-27,Honorarios Consultoría Quant,PetShop Supply Co.,59.2,Efectivo,Pendiente
TXN-2026-0155,2026-05-08,Servicios de Nube AWS,MercadoLibre Colombia,301.7,,Aprobado
TXN-2026-0248,2026-02-20,suscripción op3n4i 4pi,Beeks Financial Cloud / MQ Hosting,483.89,Efectivo,Aprobado
TXN-2026-0238,2026-03-13,s3rvicio d3 int3rn3t fibr4 óptic4,MercadoLibre Colombia,1115.59,Transferencia Bancaria,Error Banco
TXN-2026-0204,2026-02-19,Suscripción Canva Pro / Marketing,MercadoLibre Colombia,994.98,Tarjeta de Crédito Corporativa,Pagado
TXN-2026-0230,2026-02-13,Mantenimiento Servidor Local / Ngrok,Meta Platforms Ireland Ltd,1068.9,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0397,,Licencias MetaTrader 5 / VPS Trading,OpenAI LLC,824.82,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0023,2026-02-12,Publicidad Meta Ads (Instagram/FB),Milesight IoT Co.,1084.39,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0312,2026-08-25,Suscripción Canva Pro / Marketing,PetShop Supply Co.,49.94,Transferencia Bancaria,Pendiente
TXN-2026-0047,2026-08-15,Compra Sensores LoRaWAN AgroTech,PetShop Supply Co.,600.84,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0306,2026-08-30,HERRAMIENTAS DE HARDWARE IOT (RASPBERRY/ESP32),Transportes del Darién S.A.,140.2,PayPal,pagado
TXN-2026-0337,2026-01-21,suscripción c4nv4 pro / m4rk3ting,PetShop Supply Co.,691.9,Pse / Débito,pagado
TXN-2026-0416,2026-06-02,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,901.73,PayPal,CANCELADO
TXN-2026-0181,2026-04-18,Suscripción Canva Pro / Marketing,OpenAI LLC,1121.5,Transferencia Bancaria,PAGADO
TXN-2026-0114,2026-04-02,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,,Efectivo,CANCELADO
TXN-2026-0058,2026-03-31,  Servicios Nube Azure   ,MercadoLibre Colombia,51.77,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0319,2026-05-25,Compra Sensores LoRaWAN AgroTech,Meta Platforms Ireland Ltd,-223.03,Tarjeta de Crédito Corporativa,
TXN-2026-0193,2026-05-17,Insumos Peluquería Canina HeisGroomer,MercadoLibre Colombia,869.3,PayPal,Pendiente
TXN-2026-0399,2026-05-11,Herramientas de Hardware IoT (Raspberry/ESP32),PetShop Supply Co.,802.42,Efectivo,Error Banco
TXN-2026-0025,2026-01-15,Mantenimiento Servidor Local / Ngrok,Amazon Web Services LLC,82.74,Pse / Débito,pagado
TXN-2026-0018,2026-05-22,  Compra Sensores LoRaWAN AgroTech   ,Amazon Web Services LLC,762.86,Tarjeta de Crédito Corporativa,Pagado
TXN-2026-0067,2026-03-03,Transporte Logístico Urabá,PetShop Supply Co.,95463.0,Transferencia Bancaria,Pendiente
TXN-2026-0156,2026-04-17,Transporte Logístico Urabá,Microsoft Ireland Operations,442.32,Pse / Débito,pagado
TXN-2026-0087,2026-02-09,Honorarios Consultoría Quant,Beeks Financial Cloud / MQ Hosting,339.01,Efectivo,pagado
TXN-2026-0032,2026-05-06,SUSCRIPCIÓN CANVA PRO / MARKETING,Amazon Web Services LLC,516.94,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0085,2026-01-14,Mantenimiento Servidor Local / Ngrok,OpenAI LLC,534.17,,CANCELADO
TXN-2026-0401,2026-06-15,Servicio de Internet Fibra Óptica,ETB / Tigo Telecomunicaciones,247.82,Transferencia Bancaria,Pendiente
TXN-2026-0186,2026-04-04,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,-607.59,Transferencia Bancaria,Error Banco
TXN-2026-0209,2026-05-16,SERVICIOS NUBE AZURE,Transportes del Darién S.A.,997.1,Transferencia Bancaria,Pendiente
TXN-2026-0407,2026-08-20,Servicio de Internet Fibra Óptica,Milesight IoT Co.,823.82,Tarjeta de Crédito Corporativa,pagado
TXN-2026-0132,2026-08-31,Suscripción Canva Pro / Marketing,PetShop Supply Co.,119.43,Transferencia Bancaria,PAGADO
TXN-2026-0095,2026-01-26,Honorarios Consultoría Quant,Microsoft Ireland Operations,837.39,Tarjeta de Crédito Corporativa,Pagado
TXN-2026-0263,2026-01-30,Suscripción Canva Pro / Marketing,Meta Platforms Ireland Ltd,979.28,PayPal,pagado
TXN-2026-0383,2026-07-12,Compra Sensores LoRaWAN AgroTech,Distribuidora Estética Mascotas SAS,74.67,Efectivo,Pendiente
TXN-2026-0256,2026-01-26,Mantenimiento Servidor Local / Ngrok,PetShop Supply Co.,702.91,Efectivo,PAGADO
TXN-2026-0176,2026-06-01,Suscripción OpenAI API,OpenAI LLC,868.95,,
TXN-2026-0375,2026-03-22,Servicios Nube Azure,Microsoft Ireland Operations,$1070.0,Transferencia Bancaria,Pendiente
TXN-2026-0226,2026-05-22,Licencias MetaTrader 5 / VPS Trading,Agropecuaria y Mascotas Mutatá,783.73,PayPal,PAGADO
TXN-2026-0326,2026-08-15,Servicios de Nube AWS,Beeks Financial Cloud / MQ Hosting,836.41,Tarjeta de Crédito Corporativa,Pagado
TXN-2026-0387,2026-07-03,HONORARIOS CONSULTORÍA QUANT,Meta Platforms Ireland Ltd,914.79,PayPal,CANCELADO
TXN-2026-0006,2026-01-26,Publicidad Meta Ads (Instagram/FB),MercadoLibre Colombia,207.75,PayPal,CANCELADO
TXN-2026-0117,2026-01-21,,Microsoft Ireland Operations,754.82,PayPal,pagado
TXN-2026-0046,2026-03-02,,Milesight IoT Co.,69.76,Pse / Débito,Pagado
TXN-2026-0017,2026-03-21,Transporte Logístico Urabá,MercadoLibre Colombia,1081.04,Transferencia Bancaria,
TXN-2026-0440,2026-07-16,Suscripción Canva Pro / Marketing,Microsoft Ireland Operations,1053.97,,CANCELADO
TXN-2026-0341,2026-07-14,Servicios Nube Azure,Microsoft Ireland Operations,134.67,Pse / Débito,PAGADO
TXN-2026-0004,2026-08-05,Licencias MetaTrader 5 / VPS Trading,Amazon Web Services LLC,650.43,Efectivo,Aprobado
TXN-2026-0416,2026-06-02,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,901.73,PayPal,CANCELADO
TXN-2026-0061,2026-06-01,TRANSPORTE LOGÍSTICO URABÁ,Milesight IoT Co.,930.39,Pse / Débito,Error Banco
TXN-2026-0111,2026-04-12,SERVICIOS NUBE AZURE,Meta Platforms Ireland Ltd,266.35,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0389,2026-01-31,Alimento Medicado Mascotas,Milesight IoT Co.,940.98,Tarjeta de Crédito Corporativa,Pagado
TXN-2026-0313,2026-04-25,Servicios de Nube AWS,Transportes del Darién S.A.,306.25,Efectivo,PAGADO
TXN-2026-0030,2026-05-20,Servicio de Internet Fibra Óptica,MercadoLibre Colombia,806.42,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0183,2026-03-14,Suscripción Canva Pro / Marketing,MercadoLibre Colombia,$353.61,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0393,2026-04-26,Suscripción OpenAI API,Agropecuaria y Mascotas Mutatá,1065.43,Pse / Débito,CANCELADO
TXN-2026-0027,2026.06.02,Servicios Nube Azure,Agropecuaria y Mascotas Mutatá,684.79,PayPal,CANCELADO
TXN-2026-0008,,Suscripción Canva Pro / Marketing,Amazon Web Services LLC,,Pse / Débito,Aprobado
TXN-2026-0433,2026-01-11,Suscripción OpenAI API,Amazon Web Services LLC,1108.1,Efectivo,pagado
TXN-2026-0109,2026-05-19,Honorarios Consultoría Quant,PetShop Supply Co.,50664.0,Efectivo,
TXN-2026-0443,2026-05-23,Insumos Peluquería Canina HeisGroomer,ETB / Tigo Telecomunicaciones,315.73,PayPal,PAGADO
TXN-2026-0448,2026-07-25,Compra Sensores LoRaWAN AgroTech,Amazon Web Services LLC,620.0,Pse / Débito,Pagado
TXN-2026-0119,2026-08-16,Insumos Peluquería Canina HeisGroomer,Meta Platforms Ireland Ltd,879.59,PayPal,Aprobado
TXN-2026-0115,2026-04-25,MANTENIMIENTO SERVIDOR LOCAL / NGROK,Transportes del Darién S.A.,612.05,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0182,2026-04-30,lic3nci4s m3t4tr4d3r 5 / vps tr4ding,Meta Platforms Ireland Ltd,1135.1,Transferencia Bancaria,Aprobado
TXN-2026-0223,2026-08-05,Mantenimiento Servidor Local / Ngrok,PetShop Supply Co.,76.07,Pse / Débito,Error Banco
TXN-2026-0254,2026.05.20,Insumos Peluquería Canina HeisGroomer,PetShop Supply Co.,651.23,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0353,2026-01-02,Transporte Logístico Urabá,Distribuidora Estética Mascotas SAS,718.62,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0363,2026-05-28,,Microsoft Ireland Operations,528.95,Efectivo,
TXN-2026-0174,2026-08-22,Suscripción Canva Pro / Marketing,Microsoft Ireland Operations,375.39,Transferencia Bancaria,pagado
TXN-2026-0449,17/06/2026,Suscripción OpenAI API,Microsoft Ireland Operations,938.91,Efectivo,Pendiente
TXN-2026-0194,2026-03-13,Compra Sensores LoRaWAN AgroTech,Beeks Financial Cloud / MQ Hosting,850.31,Efectivo,Aprobado
TXN-2026-0425,2026-05-09,Alimento Medicado Mascotas,Distribuidora Estética Mascotas SAS,800.27,Pse / Débito,Error Banco
TXN-2026-0142,2026-06-19,Insumos Peluquería Canina HeisGroomer,Beeks Financial Cloud / MQ Hosting,842.7,Pse / Débito,Pagado
TXN-2026-0424,2026-05-20,Mantenimiento Servidor Local / Ngrok,Meta Platforms Ireland Ltd,191.13,Pse / Débito,Aprobado
TXN-2026-0068,2026-05-29,Mantenimiento Servidor Local / Ngrok,ETB / Tigo Telecomunicaciones,1196.01,PayPal,Aprobado
TXN-2026-0374,2026-03-07,Publicidad Meta Ads (Instagram/FB),Beeks Financial Cloud / MQ Hosting,74.35,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0169,2026-04-26,Honorarios Consultoría Quant,Meta Platforms Ireland Ltd,975.46,PayPal,CANCELADO
TXN-2026-0359,2026-07-10,Alimento Medicado Mascotas,Distribuidora Estética Mascotas SAS,708.9,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0298,2026-07-04,Suscripción Canva Pro / Marketing,Microsoft Ireland Operations,156.49,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0269,2026-03-10,Suscripción Canva Pro / Marketing,Distribuidora Estética Mascotas SAS,911.79,Efectivo,PAGADO
TXN-2026-0110,2026-04-05,Publicidad Meta Ads (Instagram/FB),Milesight IoT Co.,132.74,Pse / Débito,CANCELADO
TXN-2026-0323,2026-08-26,Insumos Peluquería Canina HeisGroomer,Milesight IoT Co.,980.13,PayPal,
TXN-2026-0146,2026-06-02,Suscripción OpenAI API,OpenAI LLC,928.75,Transferencia Bancaria,Pagado
TXN-2026-0321,2026-08-23,Servicios Nube Azure,ETB / Tigo Telecomunicaciones,1153.26,Efectivo,Aprobado
TXN-2026-0153,2026-02-05,Publicidad Meta Ads (Instagram/FB),Meta Platforms Ireland Ltd,$1088.44,Transferencia Bancaria,pagado
TXN-2026-0196,2026.03.16,Honorarios Consultoría Quant,Microsoft Ireland Operations,539.22,Efectivo,Error Banco
TXN-2026-0332,,SERVICIOS DE NUBE AWS,Agropecuaria y Mascotas Mutatá,991.32,Efectivo,Pagado
TXN-2026-0084,2026-07-31,Transporte Logístico Urabá,ETB / Tigo Telecomunicaciones,79.23,Pse / Débito,CANCELADO
TXN-2026-0219,2026-07-29,Licencias MetaTrader 5 / VPS Trading,OpenAI LLC,632.68,PayPal,pagado
TXN-2026-0166,2026-06-15,4lim3nto m3dic4do m4scot4s,Transportes del Darién S.A.,196.82,PayPal,Error Banco
TXN-2026-0282,24/04/2026,Honorarios Consultoría Quant,Distribuidora Estética Mascotas SAS,1185.96,Transferencia Bancaria,Pendiente
TXN-2026-0205,2026-02-05,Compra Sensores LoRaWAN AgroTech,Amazon Web Services LLC,294.09,PayPal,CANCELADO
TXN-2026-0075,2026-05-31,Licencias MetaTrader 5 / VPS Trading,Transportes del Darién S.A.,737.41,Transferencia Bancaria,Aprobado
TXN-2026-0250,2026-03-23,Honorarios Consultoría Quant,MercadoLibre Colombia,697.42,Efectivo,Error Banco
TXN-2026-0396,2026-06-22,Suscripción Canva Pro / Marketing,ETB / Tigo Telecomunicaciones,1019.05,Pse / Débito,PAGADO
TXN-2026-0267,2026-05-07,Publicidad Meta Ads (Instagram/FB),Agropecuaria y Mascotas Mutatá,540.96,,Error Banco
TXN-2026-0120,2026-06-25,Servicios Nube Azure,Microsoft Ireland Operations,12548.0,PayPal,pagado
TXN-2026-0278,2026-05-21,Servicio de Internet Fibra Óptica,Meta Platforms Ireland Ltd,1074.57,Tarjeta de Crédito Corporativa,Error Banco
TXN-2026-0285,2026-08-09,Servicios Nube Azure,OpenAI LLC,713.65,Efectivo,Pendiente
TXN-2026-0228,2026-03-08,Servicio de Internet Fibra Óptica,Transportes del Darién S.A.,364.8,Transferencia Bancaria,Error Banco
TXN-2026-0380,2026-03-08,Servicios de Nube AWS,PetShop Supply Co.,636.91,Pse / Débito,CANCELADO
TXN-2026-0392,2026-04-10,Servicio de Internet Fibra Óptica,Distribuidora Estética Mascotas SAS,470.83,Transferencia Bancaria,Aprobado
TXN-2026-0229,2026-05-21,Transporte Logístico Urabá,Distribuidora Estética Mascotas SAS,988.59,Efectivo,CANCELADO
TXN-2026-0211,2026-05-12,Servicio de Internet Fibra Óptica,Amazon Web Services LLC,812.23,Tarjeta de Crédito Corporativa,
TXN-2026-0366,2026-03-16,Mantenimiento Servidor Local / Ngrok,Transportes del Darién S.A.,528.89,Transferencia Bancaria,PAGADO
TXN-2026-0398,2026.05.19,SUSCRIPCIÓN CANVA PRO / MARKETING,Meta Platforms Ireland Ltd,1043.62,Transferencia Bancaria,pagado
TXN-2026-0037,2026-03-05,HERRAMIENTAS DE HARDWARE IOT (RASPBERRY/ESP32),PetShop Supply Co.,1048.52,Transferencia Bancaria,PAGADO
TXN-2026-0197,2026-08-27,LICENCIAS METATRADER 5 / VPS TRADING,OpenAI LLC,892.96,Tarjeta de Crédito Corporativa,pagado
TXN-2026-0140,2026-05-15,Suscripción OpenAI API,Distribuidora Estética Mascotas SAS,350.23,PayPal,Pagado
TXN-2026-0348,2026-04-12,s3rvicios nub3 4zur3,MercadoLibre Colombia,456.37,Transferencia Bancaria,PAGADO
TXN-2026-0357,2026-06-13,Transporte Logístico Urabá,Distribuidora Estética Mascotas SAS,1016.82,Pse / Débito,Pagado
TXN-2026-0403,07/03/2026,Publicidad Meta Ads (Instagram/FB),PetShop Supply Co.,62.33,Pse / Débito,CANCELADO
TXN-2026-0272,2026-07-28,Servicios de Nube AWS,Transportes del Darién S.A.,348.09,PayPal,Aprobado
