id_transaccion,fecha_gasto,concepto,proveedor,monto_usd,metodo_pago,estado_pago,concepto_clean,proveedor_clean,monto_usd_clean,fecha_gasto_clean,metodo_pago_clean,estado_pago_clean,z_score_robusto,monto_usd_final,anio_mes,cluster_gasto,categoria_gasto_ml,anomalia_iforest,es_anomalia_ml
TXN-2026-0078,2026-05-20,Suscripción OpenAI API,Beeks Financial Cloud / MQ Hosting,99.62,PayPal,Error Banco,Suscripción Openai Api,Beeks Financial Cloud / Mq Hosting,99.62,2026-05-20,Paypal,ERROR BANCO,-1.2352923861689047,99.62,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0262,2026-02-17,COMPRA SENSORES LORAWAN AGROTECH,Meta Platforms Ireland Ltd,809.78,PayPal,pagado,Compra Sensores Lorawan Agrotech,Meta Platforms Ireland Ltd,809.78,2026-02-17,Paypal,APROBADO,0.35679349423564244,809.78,2026-02,1,Perfil_2,1,NORMAL
TXN-2026-0127,2026.06.08,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,517.46,Efectivo,Error Banco,Servicios Nube Azure,Beeks Financial Cloud / Mq Hosting,517.46,2026-06-08,Efectivo,ERROR BANCO,-0.29854973061489426,517.46,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0251,2026-01-30,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,228.21,Tarjeta de Crédito Corporativa,PAGADO,Compra Sensores Lorawan Agrotech,Transportes Del Darién S.A.,228.21,2026-01-30,Tarjeta De Crédito Corporativa,APROBADO,-0.9470104168081681,228.21,2026-01,0,Perfil_1,1,NORMAL
TXN-2026-0318,2026-02-14,Servicio de Internet Fibra Óptica,Distribuidora Estética Mascotas SAS,841.69,Tarjeta de Crédito Corporativa,Aprobado,Servicio De Internet Fibra Óptica,Distribuidora Estética Mascotas Sas,841.69,2026-02-14,Tarjeta De Crédito Corporativa,APROBADO,0.4283315426243284,841.69,2026-02,1,Perfil_2,1,NORMAL
TXN-2026-0287,2026-02-22,Mantenimiento Servidor Local / Ngrok,Milesight IoT Co.,,Transferencia Bancaria,Pagado,Mantenimiento Servidor Local / Ngrok,Milesight Iot Co.,587.415,2026-02-22,Transferencia Bancaria,APROBADO,-0.14171976586934398,587.415,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0077,2026-03-14,Publicidad Meta Ads (Instagram/FB),Microsoft Ireland Operations,1109.83,Pse / Débito,Pendiente,Publicidad Meta Ads (Instagram/Fb),Microsoft Ireland Operations,1109.83,2026-03-14,Pse / Débito,PENDIENTE,1.0294663685391576,1109.83,2026-03,1,Perfil_2,1,NORMAL
TXN-2026-0105,2026-07-05,Alimento Medicado Mascotas,ETB / Tigo Telecomunicaciones,$951.96,Pse / Débito,Aprobado,Alimento Medicado Mascotas,Etb / Tigo Telecomunicaciones,951.96,2026-07-05,Pse / Débito,APROBADO,0.6755424669684331,951.96,2026-07,1,Perfil_2,1,NORMAL
TXN-2026-0295,2026-03-09,  Servicio de Internet Fibra Óptica   ,MercadoLibre Colombia,554.41,Efectivo,Pendiente,Servicio De Internet Fibra Óptica,Mercadolibre Colombia,554.41,2026-03-09,Efectivo,PENDIENTE,-0.21571266110809592,554.41,2026-03,0,Perfil_1,1,NORMAL
TXN-2026-0431,2026-02-08,Insumos Peluquería Canina HeisGroomer,Transportes del Darién S.A.,155.22,PayPal,PAGADO,Insumos Peluquería Canina Heisgroomer,Transportes Del Darién S.A.,155.22,2026-02-08,Paypal,APROBADO,-1.1106444547865502,155.22,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0083,2026-05-07,4lim3nto m3dic4do m4scot4s,ETB / Tigo Telecomunicaciones,119.35,Tarjeta de Crédito Corporativa,PAGADO,Alimento Medicado Mascotas,Etb / Tigo Telecomunicaciones,119.35,2026-05-07,Tarjeta De Crédito Corporativa,APROBADO,-1.1910603054823246,119.35,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0001,2026-06-13,Honorarios Consultoría Quant,Beeks Financial Cloud / MQ Hosting,180.35,Pse / Débito,,Honorarios Consultoría Quant,Beeks Financial Cloud / Mq Hosting,180.35,2026-06-13,Pse / Débito,PENDIENTE,-1.0543062800448495,180.35,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0249,2026-04-21,Suscripción Canva Pro / Marketing,MercadoLibre Colombia,176.31,Transferencia Bancaria,Pendiente,Suscripción Canva Pro / Marketing,Mercadolibre Colombia,176.31,2026-04-21,Transferencia Bancaria,PENDIENTE,-1.0633634318934955,176.31,2026-04,0,Perfil_1,1,NORMAL
TXN-2026-0012,2026-01-30,Mantenimiento Servidor Local / Ngrok,Beeks Financial Cloud / MQ Hosting,418.11,Transferencia Bancaria,CANCELADO,Mantenimiento Servidor Local / Ngrok,Beeks Financial Cloud / Mq Hosting,418.11,2026-01-30,Transferencia Bancaria,CANCELADO,-0.5212794425364214,418.11,2026-01,0,Perfil_1,1,NORMAL
TXN-2026-0372,2026-02-21,Alimento Medicado Mascotas,Beeks Financial Cloud / MQ Hosting,664.54,Efectivo,,Alimento Medicado Mascotas,Beeks Financial Cloud / Mq Hosting,664.54,2026-02-21,Efectivo,PENDIENTE,0.031184401538283456,664.54,2026-02,1,Perfil_2,1,NORMAL
TXN-2026-0031,2026-08-16,Mantenimiento Servidor Local / Ngrok,OpenAI LLC,731.72,Transferencia Bancaria,Error Banco,Mantenimiento Servidor Local / Ngrok,Openai Llc,731.72,2026-08-16,Transferencia Bancaria,ERROR BANCO,0.18179317906106365,731.72,2026-08,1,Perfil_2,1,NORMAL
TXN-2026-0434,2026-08-13,Transporte Logístico Urabá,Beeks Financial Cloud / MQ Hosting,271.66,Efectivo,Pendiente,Transporte Logístico Urabá,Beeks Financial Cloud / Mq Hosting,271.66,2026-08-13,Efectivo,PENDIENTE,-0.8496011970498353,271.66,2026-08,0,Perfil_1,1,NORMAL
TXN-2026-0064,2026-04-30,Honorarios Consultoría Quant,Transportes del Darién S.A.,1024.28,Tarjeta de Crédito Corporativa,PAGADO,Honorarios Consultoría Quant,Transportes Del Darién S.A.,1024.28,2026-04-30,Tarjeta De Crédito Corporativa,APROBADO,0.8376744525362725,1024.28,2026-04,1,Perfil_2,1,NORMAL
TXN-2026-0102,2026-06-18,SUSCRIPCIÓN OPENAI API,MercadoLibre Colombia,-758.54,,Aprobado,Suscripción Openai Api,Mercadolibre Colombia,758.54,2026-06-18,No Registrado,APROBADO,0.24192011286816323,758.54,2026-06,1,Perfil_2,1,NORMAL
TXN-2026-0125,2026-08-11,  Transporte Logístico Urabá   ,Agropecuaria y Mascotas Mutatá,893.05,Tarjeta de Crédito Corporativa,Pendiente,Transporte Logístico Urabá,Agropecuaria Y Mascotas Mutatá,893.05,2026-08-11,Tarjeta De Crédito Corporativa,PENDIENTE,0.5434739483041433,893.05,2026-08,1,Perfil_2,1,NORMAL
TXN-2026-0298,2026-07-04,Suscripción Canva Pro / Marketing,Microsoft Ireland Operations,156.49,Tarjeta de Crédito Corporativa,Error Banco,Suscripción Canva Pro / Marketing,Microsoft Ireland Operations,156.49,2026-07-04,Tarjeta De Crédito Corporativa,ERROR BANCO,-1.1077972808143275,156.49,2026-07,0,Perfil_1,1,NORMAL
TXN-2026-0429,2026-06-17,Servicio de Internet Fibra Óptica,MercadoLibre Colombia,107.24,Transferencia Bancaria,Aprobado,Servicio De Internet Fibra Óptica,Mercadolibre Colombia,107.24,2026-06-17,Transferencia Bancaria,APROBADO,-1.2182093423355678,107.24,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0080,2026-08-16,Insumos Peluquería Canina HeisGroomer,Transportes del Darién S.A.,123.22,Pse / Débito,Pagado,Insumos Peluquería Canina Heisgroomer,Transportes Del Darién S.A.,123.22,2026-08-16,Pse / Débito,APROBADO,-1.182384271409488,123.22,2026-08,0,Perfil_1,1,NORMAL
TXN-2026-0173,2026-04-26,,Distribuidora Estética Mascotas SAS,997.43,Pse / Débito,Pendiente,Gasto No Especificado,Distribuidora Estética Mascotas Sas,997.43,2026-04-26,Pse / Débito,PENDIENTE,0.7774802626510886,997.43,2026-04,1,Perfil_2,1,NORMAL
TXN-2026-0019,2026-03-13,,ETB / Tigo Telecomunicaciones,1123.58,Efectivo,PAGADO,Gasto No Especificado,Etb / Tigo Telecomunicaciones,1123.58,2026-03-13,Efectivo,APROBADO,1.0602920709943262,1123.58,2026-03,1,Perfil_2,1,NORMAL
TXN-2026-0422,2026-05-22,TRANSPORTE LOGÍSTICO URABÁ,Transportes del Darién S.A.,347.53,Pse / Débito,CANCELADO,Transporte Logístico Urabá,Transportes Del Darién S.A.,347.53,2026-05-22,Pse / Débito,CANCELADO,-0.6795105755753887,347.53,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0281,2026-06-29,ALIMENTO MEDICADO MASCOTAS,MercadoLibre Colombia,127.79,Tarjeta de Crédito Corporativa,Pendiente,Alimento Medicado Mascotas,Mercadolibre Colombia,127.79,2026-06-29,Tarjeta De Crédito Corporativa,PENDIENTE,-1.1721389288480248,127.79,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0415,2026-06-23,Herramientas de Hardware IoT (Raspberry/ESP32),PetShop Supply Co.,$1149.51,Pse / Débito,,Herramientas De Hardware Iot (Raspberry/Espe2),Petshop Supply Co.,1149.51,2026-06-23,Pse / Débito,PENDIENTE,1.1184237411516007,1149.51,2026-06,1,Perfil_2,1,NORMAL
TXN-2026-0040,2026-06-02,Honorarios Consultoría Quant,Distribuidora Estética Mascotas SAS,1181.32,Pse / Débito,Pagado,Honorarios Consultoría Quant,Distribuidora Estética Mascotas Sas,1181.32,2026-06-02,Pse / Débito,APROBADO,1.1897376026133397,1181.32,2026-06,1,Perfil_2,1,NORMAL
TXN-2026-0138,2026-05-29,Herramientas de Hardware IoT (Raspberry/ESP32),PetShop Supply Co.,547.93,Transferencia Bancaria,PAGADO,Herramientas De Hardware Iot (Raspberry/Espe2),Petshop Supply Co.,547.93,2026-05-29,Transferencia Bancaria,APROBADO,-0.23023997397424084,547.93,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0158,2026-06-18,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,-409.03,Pse / Débito,CANCELADO,Herramientas De Hardware Iot (Raspberry/Espe2),Transportes Del Darién S.A.,409.03,2026-06-18,Pse / Débito,CANCELADO,-0.5416356155031802,409.03,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0071,2026-07-01,Licencias MetaTrader 5 / VPS Trading,Amazon Web Services LLC,670.73,Transferencia Bancaria,Error Banco,Licencias Metatrader S / Vps Trading,Amazon Web Services Llc,670.73,2026-07-01,Transferencia Bancaria,ERROR BANCO,0.04506157231628311,670.73,2026-07,1,Perfil_2,1,NORMAL
TXN-2026-0056,2026-04-11,TRANSPORTE LOGÍSTICO URABÁ,Amazon Web Services LLC,522.91,Transferencia Bancaria,PAGADO,Transporte Logístico Urabá,Amazon Web Services Llc,522.91,2026-04-11,Transferencia Bancaria,APROBADO,-0.2863315430963003,522.91,2026-04,0,Perfil_1,1,NORMAL
TXN-2026-0246,2026-05-24,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,827.1,PayPal,PAGADO,Compra Sensores Lorawan Agrotech,Transportes Del Darién S.A.,827.1,2026-05-24,Paypal,APROBADO,0.3956226699828076,827.1,2026-05,1,Perfil_2,1,NORMAL
TXN-2026-0412,2026-04-21,ALIMENTO MEDICADO MASCOTAS,MercadoLibre Colombia,21.99,Tarjeta de Crédito Corporativa,pagado,Alimento Medicado Mascotas,Mercadolibre Colombia,21.99,2026-04-21,Tarjeta De Crédito Corporativa,APROBADO,-1.409328697557613,21.99,2026-04,0,Perfil_1,-1,ALERTA
TXN-2026-0336,2026-01-16,Suscripción Canva Pro / Marketing,ETB / Tigo Telecomunicaciones,649.58,Efectivo,Pendiente,Suscripción Canva Pro / Marketing,Etb / Tigo Telecomunicaciones,649.58,2026-01-16,Efectivo,PENDIENTE,-0.00235396273293979,649.58,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0439,2026-06-28,Compra Sensores LoRaWAN AgroTech,Meta Platforms Ireland Ltd,466.77,Pse / Débito,Pendiente,Compra Sensores Lorawan Agrotech,Meta Platforms Ireland Ltd,466.77,2026-06-28,Pse / Débito,PENDIENTE,-0.4121900838841668,466.77,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0302,2026-01-03,Servicios de Nube AWS,MercadoLibre Colombia,889.63,Transferencia Bancaria,Pendiente,Servicios De Nube Aws,Mercadolibre Colombia,889.63,2026-01-03,Transferencia Bancaria,PENDIENTE,0.5358067554025671,889.63,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0076,2026-02-10,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,499.09,Efectivo,Pendiente,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,499.09,2026-02-10,Efectivo,PENDIENTE,-0.33973286909499967,499.09,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0094,2026-03-23,Herramientas de Hardware IoT (Raspberry/ESP32),Meta Platforms Ireland Ltd,,PayPal,CANCELADO,Herramientas De Hardware Iot (Raspberry/Espe2),Meta Platforms Ireland Ltd,547.93,2026-03-23,Paypal,CANCELADO,-0.23023997397424084,547.93,2026-03,0,Perfil_1,1,NORMAL
TXN-2026-0409,2026-01-22,Suscripción OpenAI API,ETB / Tigo Telecomunicaciones,757.92,Transferencia Bancaria,PAGADO,Suscripción Openai Api,Etb / Tigo Telecomunicaciones,757.92,2026-01-22,Transferencia Bancaria,APROBADO,0.24053015392109384,757.92,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0411,2026-01-23,Suscripción OpenAI API,Beeks Financial Cloud / MQ Hosting,696.33,PayPal,PAGADO,Suscripción Openai Api,Beeks Financial Cloud / Mq Hosting,696.33,2026-01-23,Paypal,APROBADO,0.10245342561463341,696.33,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0073,2026-01-17,Servicios Nube Azure,Transportes del Darién S.A.,78.53,Pse / Débito,Pagado,Servicios Nube Azure,Transportes Del Darién S.A.,78.53,2026-01-17,Pse / Débito,APROBADO,-1.2825734090619596,78.53,2026-01,0,Perfil_1,1,NORMAL
TXN-2026-0133,2026-04-12,Honorarios Consultoría Quant,Distribuidora Estética Mascotas SAS,,Tarjeta de Crédito Corporativa,Pendiente,Honorarios Consultoría Quant,Distribuidora Estética Mascotas Sas,781.17,2026-04-12,Tarjeta De Crédito Corporativa,PENDIENTE,0.2926536144361971,781.17,2026-04,1,Perfil_2,1,NORMAL
TXN-2026-0420,2026-05-30,Servicio de Internet Fibra Óptica,Distribuidora Estética Mascotas SAS,1151.01,PayPal,Pendiente,Servicio De Internet Fibra Óptica,Distribuidora Estética Mascotas Sas,1151.01,2026-05-30,Paypal,PENDIENTE,1.1217865450558007,1151.01,2026-05,1,Perfil_2,1,NORMAL
TXN-2026-0266,2026-03-22,Servicio de Internet Fibra Óptica,Amazon Web Services LLC,1142.93,Transferencia Bancaria,pagado,Servicio De Internet Fibra Óptica,Amazon Web Services Llc,1142.93,2026-03-22,Transferencia Bancaria,APROBADO,1.1036722413585092,1142.93,2026-03,1,Perfil_2,1,NORMAL
TXN-2026-0290,2026-03-15,Mantenimiento Servidor Local / Ngrok,Agropecuaria y Mascotas Mutatá,491.7,Pse / Débito,Aprobado,Mantenimiento Servidor Local / Ngrok,Agropecuaria Y Mascotas Mutatá,491.7,2026-03-15,Pse / Débito,APROBADO,-0.3563002829963593,491.7,2026-03,0,Perfil_1,1,NORMAL
TXN-2026-0177,2026-01-12,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,264.81,Pse / Débito,PAGADO,Herramientas De Hardware Iot (Raspberry/Espe2),Transportes Del Darién S.A.,264.81,2026-01-12,Pse / Débito,APROBADO,-0.8649580015456829,264.81,2026-01,0,Perfil_1,1,NORMAL
TXN-2026-0141,2026-06-15,Insumos Peluquería Canina HeisGroomer,Microsoft Ireland Operations,473.08,Pse / Débito,Aprobado,Insumos Peluquería Canina Heisgroomer,Microsoft Ireland Operations,473.08,2026-06-15,Pse / Débito,APROBADO,-0.39804388879383124,473.08,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0427,2026-05-05,Licencias MetaTrader 5 / VPS Trading,Distribuidora Estética Mascotas SAS,807.27,PayPal,PAGADO,Licencias Metatrader S / Vps Trading,Distribuidora Estética Mascotas Sas,807.27,2026-05-05,Paypal,APROBADO,0.35116640236928076,807.27,2026-05,1,Perfil_2,1,NORMAL
TXN-2026-0239,2026-07-30,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,299.96,Efectivo,pagado,Servicios Nube Azure,Beeks Financial Cloud / Mq Hosting,299.96,2026-07-30,Efectivo,APROBADO,-0.7861562967239247,299.96,2026-07,0,Perfil_1,1,NORMAL
TXN-2026-0303,2026-01-16,Suscripción OpenAI API,PetShop Supply Co.,67.02,Pse / Débito,Aprobado,Suscripción Openai Api,Petshop Supply Co.,67.02,2026-01-16,Pse / Débito,APROBADO,-1.3083773243535228,67.02,2026-01,0,Perfil_1,1,NORMAL
TXN-2026-0276,2026-04-05,Publicidad Meta Ads (Instagram/FB),Distribuidora Estética Mascotas SAS,1044.66,Tarjeta de Crédito Corporativa,PAGADO,Publicidad Meta Ads (Instagram/Fb),Distribuidora Estética Mascotas Sas,1044.66,2026-04-05,Tarjeta De Crédito Corporativa,APROBADO,0.8833637482480061,1044.66,2026-04,1,Perfil_2,1,NORMAL
TXN-2026-0154,2026-06-05,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,159.39,Pse / Débito,Pagado,Servicios Nube Azure,Beeks Financial Cloud / Mq Hosting,159.39,2026-06-05,Pse / Débito,APROBADO,-1.1012958599328737,159.39,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0232,2026-01-16,Transporte Logístico Urabá,Transportes del Darién S.A.,$796.25,Pse / Débito,,Transporte Logístico Urabá,Transportes Del Darién S.A.,796.25,2026-01-16,Pse / Débito,PENDIENTE,0.3264610030197566,796.25,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0334,2026-05-20,Insumos Peluquería Canina HeisGroomer,Agropecuaria y Mascotas Mutatá,543.24,Efectivo,Error Banco,Insumos Peluquería Canina Heisgroomer,Agropecuaria Y Mascotas Mutatá,543.24,2026-05-20,Efectivo,ERROR BANCO,-0.24075434084804007,543.24,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0418,2026-05-21,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,9482.0,Pse / Débito,Aprobado,Mantenimiento Servidor Local / Ngrok,Microsoft Ireland Operations,9482.0,2026-05-21,Pse / Débito,APROBADO,19.798777010291072,1827.475,2026-05,1,Perfil_2,-1,ALERTA
TXN-2026-0016,2026-08-31,Licencias MetaTrader 5 / VPS Trading,ETB / Tigo Telecomunicaciones,516.42,Pse / Débito,CANCELADO,Licencias Metatrader S / Vps Trading,Etb / Tigo Telecomunicaciones,516.42,2026-08-31,Pse / Débito,CANCELADO,-0.3008812746551399,516.42,2026-08,0,Perfil_1,1,NORMAL
TXN-2026-0149,2026-02-11,,Transportes del Darién S.A.,311.25,PayPal,Pagado,Gasto No Especificado,Transportes Del Darién S.A.,311.25,2026-02-11,Paypal,APROBADO,-0.7608455926716445,311.25,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0369,2026-06-17,SERVICIOS DE NUBE AWS,PetShop Supply Co.,541.51,PayPal,Pendiente,Servicios De Nube Aws,Petshop Supply Co.,541.51,2026-06-17,Paypal,PENDIENTE,-0.24463277468421768,541.51,2026-06,0,Perfil_1,1,NORMAL
TXN-2026-0020,2026-02-18,Transporte Logístico Urabá,Agropecuaria y Mascotas Mutatá,502.16,Tarjeta de Crédito Corporativa,CANCELADO,Transporte Logístico Urabá,Agropecuaria Y Mascotas Mutatá,502.16,2026-02-18,Tarjeta De Crédito Corporativa,CANCELADO,-0.33285033043773643,502.16,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0308,2026-02-25,INSUMOS PELUQUERÍA CANINA HEISGROOMER,OpenAI LLC,309.14,,Aprobado,Insumos Peluquería Canina Heisgroomer,Openai Llc,309.14,2026-02-25,No Registrado,APROBADO,-0.7655759368302195,309.14,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0317,2026-06-18,  Mantenimiento Servidor Local / Ngrok   ,PetShop Supply Co.,1195.72,Efectivo,Error Banco,Mantenimiento Servidor Local / Ngrok,Petshop Supply Co.,1195.72,2026-06-18,Efectivo,ERROR BANCO,1.2220205200936618,1195.72,2026-06,1,Perfil_2,1,NORMAL
TXN-2026-0057,2026-04-27,Herramientas de Hardware IoT (Raspberry/ESP32),Agropecuaria y Mascotas Mutatá,1142.18,Tarjeta de Crédito Corporativa,CANCELADO,Herramientas De Hardware Iot (Raspberry/Espe2),Agropecuaria Y Mascotas Mutatá,1142.18,2026-04-27,Tarjeta De Crédito Corporativa,CANCELADO,1.101990839406409,1142.18,2026-04,1,Perfil_2,1,NORMAL
TXN-2026-0210,2026-08-07,Servicios Nube Azure,MercadoLibre Colombia,70603.0,Pse / Débito,Pagado,Servicios Nube Azure,Mercadolibre Colombia,70603.0,2026-08-07,Pse / Débito,APROBADO,156.82406862937174,1827.475,2026-08,2,Perfil_3,-1,ALERTA
TXN-2026-0419,2026-06-21,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,1081.64,Efectivo,CANCELADO,Servicios Nube Azure,Beeks Financial Cloud / Mq Hosting,1081.64,2026-06-21,Efectivo,CANCELADO,0.9662680738328887,1081.64,2026-06,1,Perfil_2,1,NORMAL
TXN-2026-0358,2026-07-09,Herramientas de Hardware IoT (Raspberry/ESP32),ETB / Tigo Telecomunicaciones,231.94,PayPal,Pendiente,Herramientas De Hardware Iot (Raspberry/Espe2),Etb / Tigo Telecomunicaciones,231.94,2026-07-09,Paypal,PENDIENTE,-0.9386482444330568,231.94,2026-07,0,Perfil_1,1,NORMAL
TXN-2026-0424,2026-05-20,Mantenimiento Servidor Local / Ngrok,Meta Platforms Ireland Ltd,191.13,Pse / Débito,Aprobado,Mantenimiento Servidor Local / Ngrok,Meta Platforms Ireland Ltd,191.13,2026-05-20,Pse / Débito,APROBADO,-1.0301389293199974,191.13,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0405,2026-07-21,Alimento Medicado Mascotas,ETB / Tigo Telecomunicaciones,123.96,Transferencia Bancaria,Aprobado,Alimento Medicado Mascotas,Etb / Tigo Telecomunicaciones,123.96,2026-07-21,Transferencia Bancaria,APROBADO,-1.1807252881500827,123.96,2026-07,0,Perfil_1,1,NORMAL
TXN-2026-0026,2026-05-11,Suscripción OpenAI API,Microsoft Ireland Operations,815.13,Tarjeta de Crédito Corporativa,pagado,Suscripción Openai Api,Microsoft Ireland Operations,815.13,2026-05-11,Tarjeta De Crédito Corporativa,APROBADO,0.3687874948272899,815.13,2026-05,1,Perfil_2,1,NORMAL
TXN-2026-0212,2026-02-25,Servicios de Nube AWS,Agropecuaria y Mascotas Mutatá,90.56,Tarjeta de Crédito Corporativa,,Servicios De Nube Aws,Agropecuaria Y Mascotas Mutatá,90.56,2026-02-25,Tarjeta De Crédito Corporativa,PENDIENTE,-1.2556037217502742,90.56,2026-02,0,Perfil_1,1,NORMAL
TXN-2026-0221,2026-04-15,Alimento Medicado Mascotas,OpenAI LLC,576.12,PayPal,Pendiente,Alimento Medicado Mascotas,Openai Llc,576.12,2026-04-15,Paypal,PENDIENTE,-0.16704167926797148,576.12,2026-04,0,Perfil_1,1,NORMAL
TXN-2026-0417,2026-02-06,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,245.28,Pse / Débito,Error Banco,Compra Sensores Lorawan Agrotech,Transportes Del Darién S.A.,245.28,2026-02-06,Pse / Débito,ERROR BANCO,-0.9087417083783698,245.28,2026-02,0,Perfil_1,1,NORMAL
